Entry	Gene
Q9NS63	16-5-5
O60362	44M2.1
A0N5V3	5HT1A
Q5ZGX3	5HT1A
Q9NYN7	5HTT
O60846	A-328A3.5
Q7LE35	A-328A3.5
O14563	A-735G6.3
F5H1E8	A2M
F8W7L3	A2M
H0YFH1	A2M
L0R6B6	A2M
P01023	A2M
Q9BQ22	A2M
A8K2U0	A2ML1
F5GXP1	A2ML1
F5GYG7	A2ML1
H0YGG5	A2ML1
H0YH14	A2ML1
D9DBS9	AAAS
D9DBT0	AAAS
D9DBT1	AAAS
D9DBT2	AAAS
D9DBT3	AAAS
F8VUB6	AAAS
F8VZ44	AAAS
H3BU82	AAAS
Q9NRG9	AAAS
Q99414	AAD10
Q99415	AAD14
C9K0E9	AADAC
P22760	AADAC
D6RC56	AADAT
D6REB9	AADAT
D6RFY7	AADAT
Q4W5N8	AADAT
Q8N5Z0	AADAT
Q2TU89	AAG1
Q2TSB7	AAG11
H0YL49	AAGAB
Q6PD74	AAGAB
A0A096LNZ0	AAK1
A0A096LP25	AAK1
A0A096LP60	AAK1
B7ZLC4	AAK1
D6W5G0	AAK1
E9PG46	AAK1
L0R804	AAK1
Q2M2I8	AAK1
Q9BUD9	AAK1
P49588	AARS
A2VCL8	AARS2
Q5JTZ9	AARS2
A4D0W4	AASS
F8WAH1	AASS
F8WE53	AASS
H7C0C6	AASS
Q9UDR5	AASS
C1KH65	AAT
P01009	AAT
Q2L9S7	AAT
Q7Z4T9	AAT1
A0A087WTH8	AATF
A0A087WW41	AATF
A0A087WWS8	AATF
Q9NY61	AATF
A0A3B3ISA0	AATK
A0A3B3ISC2	AATK
A0A3B3ISX0	AATK
H7C175	AATK
I3L360	AATK
I3L461	AATK
Q6ZMQ8	AATK
Q9H002	ABC-1
E5RFN6	ABCA10
E5RFP5	ABCA10
H0YBL8	ABCA10
K7EMH5	ABCA10
K7ERP5	ABCA10
Q8WWZ4	ABCA10
E9PBK1	ABCA12
Q86UK0	ABCA12
A0A0A0MT16	ABCA13
F5H7B7	ABCA13
