Entry	Ensembl_Protein
Q99666	ENSP00000016946
Q15311	ENSP00000019317
Q9UKA4	ENSP00000025301
Q8NFD5	ENSP00000055163
Q99959	ENSP00000070846
Q8WZ74	ENSP00000160373
Q9H6S0	ENSP00000161863
Q8N1G1	ENSP00000170168
O94804	ENSP00000176763
Q9H501	ENSP00000202816
O75391	ENSP00000206020
Q9NRG9	ENSP00000209873
Q96EB6	ENSP00000212015
Q15459	ENSP00000215793
Q9Y6X9	ENSP00000215862
Q8N3F8	ENSP00000215957
Q14166	ENSP00000216129
P35579	ENSP00000216181
Q969R5	ENSP00000216237
Q9Y5B9	ENSP00000216297
Q9H307	ENSP00000216832
Q9UNZ2	ENSP00000216879
Q96BD0	ENSP00000217159
Q14694	ENSP00000219473
Q9UNE7	ENSP00000219548
O95071	ENSP00000220959
P08621	ENSP00000221448
O75792	ENSP00000221486
Q08117	ENSP00000221561
Q9Y3X0	ENSP00000221922
Q02543	ENSP00000222247
O60292	ENSP00000222345
Q13442	ENSP00000222968
Q86VQ1	ENSP00000223145
P60468	ENSP00000223641
Q9Y5J1	ENSP00000225298
Q7Z417	ENSP00000225388
Q9Y2X7	ENSP00000225394
O75976	ENSP00000225719
J9JIC5	ENSP00000225805
Q9H6F5	ENSP00000227520
Q9BY84	ENSP00000228862
P60174	ENSP00000229270
Q9Y478	ENSP00000229328
P06241	ENSP00000229471
Q9Y294	ENSP00000229595
Q13895	ENSP00000230340
P51397	ENSP00000230895
P30414	ENSP00000232978
P51957	ENSP00000233027
Q9C086	ENSP00000233331
Q9H8Y8	ENSP00000234160
Q03701	ENSP00000234170
P52701	ENSP00000234420
Q9BQA1	ENSP00000235090
O75379	ENSP00000236192
Q8NHQ9	ENSP00000238146
Q9NYF3	ENSP00000239906
O95232	ENSP00000240304
P38432	ENSP00000240316
P53621	ENSP00000241704
A0A0A0MQT4	ENSP00000242323
P13051	ENSP00000242576
Q16512	ENSP00000242783
Q9UJ70	ENSP00000244204
P35659	ENSP00000244776
Q92797	ENSP00000245934
Q9BRP1	ENSP00000246535
Q9UBT2	ENSP00000246548
Q9BX95	ENSP00000247225
Q9H910	ENSP00000248098
Q05209	ENSP00000248594
Q00587	ENSP00000249014
Q99543	ENSP00000249270
O75925	ENSP00000249636
P51116	ENSP00000250113
