Entry	Ensembl_Protein	isomap:M20200405A94466D2655679D1FD8953E075198DA823CF7DE	Entry name	Status	Organism	Length
P84085	ENSP00000000233		ARF5_HUMAN	reviewed	Homo sapiens (Human)	180
P20645	ENSP00000000412		MPRD_HUMAN	reviewed	Homo sapiens (Human)	277
Q02790	ENSP00000001008		FKBP4_HUMAN	reviewed	Homo sapiens (Human)	459
Q9NR63	ENSP00000001146	ENSP00000001146 -> Q9NR63-1	CP26B_HUMAN	reviewed	Homo sapiens (Human)	512
Q7L592	ENSP00000002125	ENSP00000002125 -> Q7L592-1	NDUF7_HUMAN	reviewed	Homo sapiens (Human)	441
Q9BTY2	ENSP00000002165	ENSP00000002165 -> Q9BTY2-1	FUCO2_HUMAN	reviewed	Homo sapiens (Human)	467
O14792	ENSP00000002596		HS3S1_HUMAN	reviewed	Homo sapiens (Human)	307
Q13275	ENSP00000002829	ENSP00000002829 -> Q13275-1	SEM3F_HUMAN	reviewed	Homo sapiens (Human)	785
P13569	ENSP00000003084	ENSP00000003084 -> P13569-1	CFTR_HUMAN	reviewed	Homo sapiens (Human)	1480
A0A0C4DFL7	ENSP00000003100		A0A0C4DFL7_HUMAN	unreviewed	Homo sapiens (Human)	509
Q96RU2	ENSP00000003302	ENSP00000003302 -> Q96RU2-1	UBP28_HUMAN	reviewed	Homo sapiens (Human)	1077
P52569	ENSP00000004531	ENSP00000004531 -> P52569-3	CTR2_HUMAN	reviewed	Homo sapiens (Human)	658
Q16654	ENSP00000005178		PDK4_HUMAN	reviewed	Homo sapiens (Human)	411
Q9Y6N9	ENSP00000005226	ENSP00000005226 -> Q9Y6N9-5	USH1C_HUMAN	reviewed	Homo sapiens (Human)	552
P11233	ENSP00000005257		RALA_HUMAN	reviewed	Homo sapiens (Human)	206
Q9UHR4	ENSP00000005260		BI2L1_HUMAN	reviewed	Homo sapiens (Human)	511
O60359	ENSP00000005284		CCG3_HUMAN	reviewed	Homo sapiens (Human)	315
Q24JP5	ENSP00000005286	ENSP00000005286 -> Q24JP5-2	T132A_HUMAN	reviewed	Homo sapiens (Human)	1023
O14641	ENSP00000005340		DVL2_HUMAN	reviewed	Homo sapiens (Human)	736
Q9H6T3	ENSP00000005386	ENSP00000005386 -> Q9H6T3-1	RPAP3_HUMAN	reviewed	Homo sapiens (Human)	665
O75563	ENSP00000005587		SKAP2_HUMAN	reviewed	Homo sapiens (Human)	359
Q9Y6M0	ENSP00000005995	ENSP00000005995 -> Q9Y6M0-1	TEST_HUMAN	reviewed	Homo sapiens (Human)	314
P31270	ENSP00000006015		HXA11_HUMAN	reviewed	Homo sapiens (Human)	313
P78423	ENSP00000006053		X3CL1_HUMAN	reviewed	Homo sapiens (Human)	397
O75865	ENSP00000006275	ENSP00000006275 -> O75865-2	TPC6A_HUMAN	reviewed	Homo sapiens (Human)	159
Q9H977	ENSP00000006526	ENSP00000006526 -> Q9H977-1	WDR54_HUMAN	reviewed	Homo sapiens (Human)	334
Q8TB22	ENSP00000006658	ENSP00000006658 -> Q8TB22-2	SPT20_HUMAN	reviewed	Homo sapiens (Human)	786
Q14002	ENSP00000006724		CEAM7_HUMAN	reviewed	Homo sapiens (Human)	265
Q6NTF9	ENSP00000006777	ENSP00000006777 -> Q6NTF9-1	RHBD2_HUMAN	reviewed	Homo sapiens (Human)	364
Q9UJK0	ENSP00000007390		TSR3_HUMAN	reviewed	Homo sapiens (Human)	312
Q9BZF2	ENSP00000007414	ENSP00000007414 -> Q9BZF2-1	OSBL7_HUMAN	reviewed	Homo sapiens (Human)	842
Q9Y2T7	ENSP00000007699		YBOX2_HUMAN	reviewed	Homo sapiens (Human)	364
P26006	ENSP00000007722	ENSP00000007722 -> P26006-1	ITA3_HUMAN	reviewed	Homo sapiens (Human)	1051
O76009	ENSP00000007735		KT33A_HUMAN	reviewed	Homo sapiens (Human)	404
Q7Z6R9	ENSP00000008391		AP2D_HUMAN	reviewed	Homo sapiens (Human)	452
Q16526	ENSP00000008527		CRY1_HUMAN	reviewed	Homo sapiens (Human)	586
O75594	ENSP00000008938		PGRP1_HUMAN	reviewed	Homo sapiens (Human)	196
O95772	ENSP00000009041	ENSP00000009041 -> O95772-1	STR3N_HUMAN	reviewed	Homo sapiens (Human)	234
Q96NX5	ENSP00000009105	ENSP00000009105 -> Q96NX5-1	KCC1G_HUMAN	reviewed	Homo sapiens (Human)	476
P04233	ENSP00000009530	ENSP00000009530 -> P04233-1	HG2A_HUMAN	reviewed	Homo sapiens (Human)	296
Q8TAV0	ENSP00000010299	ENSP00000010299 -> Q8TAV0-3	FA76A_HUMAN	reviewed	Homo sapiens (Human)	307
P15085	ENSP00000011292		CBPA1_HUMAN	reviewed	Homo sapiens (Human)	419
Q16563	ENSP00000011473	ENSP00000011473 -> Q16563-1	SYPL1_HUMAN	reviewed	Homo sapiens (Human)	259
Q96S59	ENSP00000011619	ENSP00000011619 -> Q96S59-1	RANB9_HUMAN	reviewed	Homo sapiens (Human)	729
P01730	ENSP00000011653		CD4_HUMAN	reviewed	Homo sapiens (Human)	458
O75954	ENSP00000011898		TSN9_HUMAN	reviewed	Homo sapiens (Human)	239
Q9NXS2	ENSP00000012049	ENSP00000012049 -> Q9NXS2-1	QPCTL_HUMAN	reviewed	Homo sapiens (Human)	382
P53041	ENSP00000012443		PPP5_HUMAN	reviewed	Homo sapiens (Human)	499
Q8N806	ENSP00000013070		UBR7_HUMAN	reviewed	Homo sapiens (Human)	425
O95050	ENSP00000013222	ENSP00000013222 -> O95050-1	INMT_HUMAN	reviewed	Homo sapiens (Human)	263
P07992	ENSP00000013807	ENSP00000013807 -> P07992-3	ERCC1_HUMAN	reviewed	Homo sapiens (Human)	297
Q8NFJ5	ENSP00000014914		RAI3_HUMAN	reviewed	Homo sapiens (Human)	357
Q9NRV9	ENSP00000014930		HEBP1_HUMAN	reviewed	Homo sapiens (Human)	189
Q7KZN9	ENSP00000016171	ENSP00000016171 -> Q7KZN9-1	COX15_HUMAN	reviewed	Homo sapiens (Human)	410
Q9NXJ0	ENSP00000016913	ENSP00000016913 -> Q9NXJ0-1	M4A12_HUMAN	reviewed	Homo sapiens (Human)	267
Q9H1B5	ENSP00000017003	ENSP00000017003 -> Q9H1B5-1	XYLT2_HUMAN	reviewed	Homo sapiens (Human)	865
P47872	ENSP00000019103		SCTR_HUMAN	reviewed	Homo sapiens (Human)	440
Q15311	ENSP00000019317		RBP1_HUMAN	reviewed	Homo sapiens (Human)	655
A5PKW4	ENSP00000020673	ENSP00000020673 -> A5PKW4-1	PSD1_HUMAN	reviewed	Homo sapiens (Human)	1024
Q7L8C5	ENSP00000020926		SYT13_HUMAN	reviewed	Homo sapiens (Human)	426
P82251	ENSP00000023064		BAT1_HUMAN	reviewed	Homo sapiens (Human)	487
A0A0A0MQR2	ENSP00000023939		A0A0A0MQR2_HUMAN	unreviewed	Homo sapiens (Human)	336
Q8TDY2	ENSP00000025008	ENSP00000025008 -> Q8TDY2-1	RBCC1_HUMAN	reviewed	Homo sapiens (Human)	1594
